ticker,earnings_date,event_expiry,spot_price,predicted_direction,conviction,DirScore,structure,risk_reversal,spread_pct,total_notional_volume,call_volume_notional,put_volume_notional,D1,D2,D3,D4,D5,P1,P2
UBFO,2025-10-15,2025-10-17,8.71,PUT,1.0989525212894753,-1.0989525212894753,strong put naked,-2.73774501092929,0.0,0.0,1e-09,0,-3.4819175423297772,-0.07573277405952249,0.20259038329288767,0.0,0.5,0.5,0.0
BAC,2025-10-15,2025-10-17,48.86,CALL,0.7798878385848325,0.7798878385848325,strong call naked,0.019073252194276136,0.0,4000328.0,2648770.0,1351558.0,0.20897510779201503,2.4236356620537096,0.19109899286860443,0.0,0.5,0.5,0.0
WNS,2025-10-15,2025-10-17,76.29,PUT,0.7625167495444922,-0.7625167495444922,strong put naked,-1.9633269948827508,0.0,9115.0,8945.0,170.0,-2.4451086232284034,-0.0588257781121437,0.20216237644442858,0.0,0.5,0.5,0.0
OSBC,2025-10-15,2025-10-17,17.24,PUT,0.6601528676045901,-0.6601528676045901,medium put naked,0.7498470515273039,0.0,2610.0,10.0,2600.0,1.187352130658885,-0.08072298710838094,-5.652795072361593,0.0,0.5,0.5,0.0
MMLP,2025-10-15,2025-10-17,3.095,CALL,0.634255965512527,0.634255965512527,medium call naked,1.3078047916188575,0.0,0.0,1e-09,0,1.93435897892648,-0.07573277405952249,0.20259038329288767,0.0,0.5,0.5,0.0
FNLC,2025-10-15,2025-10-17,24.57,PUT,0.6265306767595462,-0.6265306767595462,medium put naked,-1.6351726060048786,0.0,100.0,100.0,0,-2.005767866452425,-0.07554010174103573,0.20259038329288767,0.0,0.5,0.5,0.0
MS,2025-10-15,2025-10-17,155.13,CALL,0.4161314647211911,0.4161314647211911,medium call naked,0.10625700164107943,0.0,2332989.0,1443745.0,889244.0,0.32569874690439965,0.9926371586833309,0.18871922933583632,0.0,0.5,0.5,0.0
JMSB,2025-10-15,2025-10-17,19.06,CALL,0.38083011508471787,0.38083011508471787,weak call naked,0.7153921307767751,0.0,700.0,700.0,0,1.1412230783888349,-0.07438406783010373,0.20259038329288767,0.0,0.5,0.5,0.0
WAFD,2025-10-15,2025-10-17,28.98,PUT,0.3681487351873577,-0.3681487351873577,weak put naked,-0.9991851451994728,0.0,465.0,105.0,360.0,-1.1542930064459997,-0.07622408847167052,0.12537650915238902,0.0,0.5,0.5,0.0
SLG,2025-10-15,2025-10-17,55.47,PUT,0.22571949314724443,-0.22571949314724443,weak put naked,-0.6814659536724375,0.0,19768.0,8117.0,11651.000000000002,-0.7289231354987934,-0.08254181379491399,0.17026454486080764,0.0,0.5,0.5,0.0
